Local authority code,Local authority name,LSOA code,LSOA name,Median House Price 2022,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against The Person,Total Crime 2022,IMD Score,Income Deprivation Score,Employment Deprivation Score,Education Deprivation Score,Health Deprivation Score,Crime Score,Housing and Services Deprivation Score,Living Environment Deprivation Score,Total Population 2015,Average PTAI 2015,PTAL
E09000003,Barnet,E01000161,Barnet 015D,392500.0,6.0,11.0,7.0,4.0,2.0,9.0,1.0,26.0,8.0,38.0,112.0,14.513,0.109,0.055,3.782,-0.524,0.612,27.508,20.014,2407,9.4314,2
E09000003,Barnet,E01000162,Barnet 015E,702500.0,8.0,16.0,3.0,1.0,3.0,19.0,5.0,71.0,17.0,58.0,201.0,18.504,0.117,0.098,9.943,-0.479,0.481,24.285,27.187,1683,10.2149,3
E09000003,Barnet,E01000163,Barnet 022C,334000.0,20.0,9.0,9.0,2.0,1.0,6.0,6.0,14.0,31.0,56.0,154.0,28.541,0.2,0.145,13.328,0.036,0.26,38.055,21.987,1709,3.79625,1b
E09000003,Barnet,E01000164,Barnet 022D,583500.0,13.0,10.0,8.0,3.0,2.0,13.0,4.0,53.0,47.0,43.0,196.0,25.331,0.172,0.107,11.909,-0.666,0.841,36.044,28.698,1858,7.30712,2
E09000003,Barnet,E01000165,Barnet 022E,650000.0,6.0,8.0,0.0,0.0,2.0,4.0,0.0,11.0,32.0,42.0,105.0,13.258,0.099,0.05,5.196,-1.29,0.198,35.632,16.048,1892,8.8973,2
E09000003,Barnet,E01000166,Barnet 003A,695000.0,8.0,7.0,1.0,1.0,0.0,3.0,0.0,10.0,20.0,18.0,68.0,14.861,0.105,0.082,7.16,-0.922,0.276,28.957,13.626,1640,5.24531,2
E09000003,Barnet,E01000167,Barnet 002A,537500.0,12.0,3.0,3.0,4.0,0.0,11.0,2.0,7.0,15.0,38.0,95.0,28.35,0.199,0.125,22.649,0.166,0.516,33.883,18.27,1361,1.79421,1a
E09000003,Barnet,E01000168,Barnet 003B,845000.0,7.0,9.0,0.0,3.0,0.0,2.0,0.0,4.0,18.0,7.0,50.0,6.975,0.05,0.035,3.41,-1.486,-0.095,21.872,21.5,1614,6.79275,2
E09000003,Barnet,E01000169,Barnet 003C,613500.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,10.0,24.0,21.0,62.0,13.226,0.086,0.063,4.871,-1.209,0.466,25.427,25.647,1602,6.72274,2
E09000003,Barnet,E01000170,Barnet 006A,584500.0,6.0,2.0,2.0,4.0,2.0,8.0,3.0,35.0,31.0,41.0,134.0,20.384,0.147,0.114,10.294,-0.625,0.536,22.502,25.376,1707,8.01471,2
E09000003,Barnet,E01000171,Barnet 006B,350000.0,22.0,15.0,9.0,3.0,2.0,6.0,4.0,94.0,49.0,60.0,264.0,24.261,0.196,0.105,12.3,-0.164,0.288,26.487,33.967,1999,11.3282,3
E09000003,Barnet,E01000172,Barnet 003D,700000.0,7.0,6.0,1.0,1.0,0.0,6.0,0.0,6.0,21.0,10.0,58.0,8.421,0.075,0.039,2.666,-1.613,-0.743,24.854,25.96,1707,3.48235,1b
E09000003,Barnet,E01000173,Barnet 006C,640000.0,5.0,8.0,2.0,1.0,0.0,8.0,2.0,8.0,26.0,13.0,73.0,9.709,0.081,0.05,5.844,-1.13,-0.085,19.649,23.152,1790,3.15452,1b
E09000003,Barnet,E01000174,Barnet 006D,359000.0,10.0,12.0,1.0,1.0,1.0,9.0,1.0,98.0,24.0,40.0,197.0,16.271,0.128,0.069,8.05,-0.672,-0.248,30.198,29.971,1875,9.69772,2
E09000003,Barnet,E01000175,Barnet 006E,655000.0,4.0,4.0,0.0,0.0,0.0,3.0,4.0,3.0,25.0,12.0,55.0,7.614,0.052,0.047,2.159,-1.45,0.185,22.205,15.768,1568,5.88037,2
E09000003,Barnet,E01000176,Barnet 027A,570000.0,8.0,6.0,2.0,1.0,0.0,8.0,3.0,7.0,28.0,42.0,105.0,30.549,0.233,0.136,19.609,-0.459,0.377,44.215,17.867,1651,3.71903,1b
E09000003,Barnet,E01000177,Barnet 029A,537500.0,6.0,17.0,1.0,1.0,1.0,3.0,3.0,6.0,14.0,20.0,72.0,8.263,0.055,0.026,4.627,-1.826,0.031,22.96,29.925,1746,5.02878,2
E09000003,Barnet,E01000178,Barnet 027B,593750.0,5.0,12.0,3.0,0.0,0.0,3.0,0.0,22.0,23.0,18.0,86.0,8.055,0.058,0.045,1.098,-1.31,-0.15,22.904,23.749,1817,4.0344,1b
E09000003,Barnet,E01000179,Barnet 029B,532500.0,4.0,7.0,1.0,0.0,0.0,7.0,2.0,9.0,14.0,24.0,68.0,8.467,0.064,0.036,2.024,-0.712,-0.087,24.92,19.606,1754,3.10387,1b
E09000003,Barnet,E01000180,Barnet 029C,697500.0,5.0,8.0,1.0,2.0,1.0,2.0,1.0,17.0,9.0,34.0,80.0,14.555,0.13,0.073,4.839,-1.044,-0.257,29.565,19.421,1718,8.57823,2
E09000003,Barnet,E01000181,Barnet 029D,1298000.0,13.0,11.0,2.0,1.0,0.0,10.0,5.0,62.0,16.0,32.0,152.0,8.204,0.058,0.039,0.31,-1.634,0.07,20.819,29.674,1746,14.1528,3
E09000003,Barnet,E01000182,Barnet 029E,1280000.0,3.0,14.0,3.0,0.0,0.0,4.0,7.0,17.0,15.0,11.0,74.0,8.01,0.04,0.032,0.42,-1.738,-0.177,22.913,37.424,1919,14.5049,3
E09000003,Barnet,E01000183,Barnet 033A,1100000.0,3.0,10.0,0.0,2.0,0.0,4.0,2.0,11.0,21.0,19.0,72.0,10.613,0.085,0.047,1.885,-0.676,-0.504,30.174,20.769,1502,2.92704,1b
E09000003,Barnet,E01000184,Barnet 027C,397500.0,5.0,7.0,11.0,1.0,2.0,15.0,5.0,14.0,22.0,66.0,148.0,31.921,0.212,0.141,17.632,-0.186,0.303,43.284,35.661,1645,1.93827,1a
E09000003,Barnet,E01000185,Barnet 029F,341929.59902512375,7.0,7.0,3.0,0.0,0.0,8.0,0.0,6.0,15.0,27.0,73.0,25.824,0.239,0.128,12.502,-0.208,-0.438,32.704,19.475,1547,2.90637,1b
E09000003,Barnet,E01000186,Barnet 014A,790000.0,2.0,4.0,1.0,2.0,0.0,3.0,2.0,10.0,18.0,8.0,50.0,5.195,0.044,0.035,3.442,-1.988,-0.699,19.417,18.927,1680,7.95126,2
E09000003,Barnet,E01000187,Barnet 014B,687000.0,6.0,2.0,1.0,1.0,0.0,5.0,0.0,4.0,13.0,27.0,59.0,13.015,0.118,0.063,7.661,-0.599,-0.561,27.997,14.508,1766,4.09808,1b
E09000003,Barnet,E01000188,Barnet 014C,670000.0,14.0,6.0,0.0,4.0,0.0,11.0,6.0,35.0,19.0,27.0,122.0,8.028,0.032,0.036,2.684,-2.011,0.509,21.076,27.374,1581,0.980628,1a
E09000003,Barnet,E01000189,Barnet 014D,400000.0,12.0,9.0,5.0,3.0,2.0,8.0,4.0,13.0,23.0,36.0,115.0,24.526,0.149,0.091,25.611,-0.871,-0.444,38.504,43.589,1481,1.91856,1a
E09000003,Barnet,E01000190,Barnet 014E,835000.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,11.0,20.0,18.0,64.0,10.149,0.091,0.056,5.319,-1.301,-0.437,25.601,16.24,1645,4.04547,1b
E09000003,Barnet,E01000191,Barnet 014F,482000.0,4.0,7.0,1.0,0.0,0.0,3.0,1.0,5.0,13.0,9.0,43.0,6.834,0.055,0.048,1.76,-1.605,-0.547,22.059,18.833,1559,10.5428,3
E09000003,Barnet,E01000192,Barnet 018A,815000.0,13.0,26.0,2.0,3.0,2.0,21.0,18.0,68.0,20.0,43.0,216.0,15.472,0.105,0.066,6.778,-1.035,0.535,27.087,28.127,2022,21.4253,5
E09000003,Barnet,E01000193,Barnet 018B,544975.0,25.0,22.0,7.0,4.0,0.0,23.0,22.0,238.0,40.0,75.0,456.0,16.117,0.09,0.071,7.965,-1.393,0.546,28.912,33.122,1910,20.0665,5
E09000003,Barnet,E01000194,Barnet 018C,665000.0,11.0,26.0,12.0,5.0,3.0,21.0,19.0,65.0,34.0,81.0,277.0,19.392,0.114,0.078,5.706,-1.007,0.884,33.467,29.783,1839,16.0119,4
E09000003,Barnet,E01000195,Barnet 013A,440000.0,13.0,9.0,3.0,3.0,2.0,4.0,2.0,20.0,258.0,34.0,348.0,26.999,0.177,0.109,23.459,-0.58,0.143,47.051,19.966,2007,1.50344,1a
E09000003,Barnet,E01000196,Barnet 028A,497500.0,19.0,25.0,6.0,3.0,2.0,20.0,7.0,47.0,20.0,64.0,213.0,12.284,0.093,0.068,5.839,-1.183,-0.675,29.058,22.92,2008,15.3315,4
E09000003,Barnet,E01000197,Barnet 023A,782500.0,8.0,10.0,0.0,1.0,0.0,2.0,1.0,25.0,22.0,33.0,102.0,12.516,0.086,0.056,1.749,-1.585,0.035,26.823,34.534,1889,9.2003,2
E09000003,Barnet,E01000198,Barnet 025A,640000.0,10.0,12.0,4.0,0.0,1.0,5.0,2.0,10.0,26.0,44.0,114.0,11.841,0.087,0.048,2.096,-1.852,-0.606,36.202,25.751,2065,3.23133,1b
E09000003,Barnet,E01000199,Barnet 025B,1092500.0,3.0,10.0,0.0,1.0,0.0,2.0,1.0,7.0,20.0,8.0,52.0,7.222,0.056,0.036,1.162,-2.149,-0.138,27.064,16.028,1636,4.50414,1b
E09000003,Barnet,E01000200,Barnet 028B,680000.0,7.0,9.0,2.0,0.0,0.0,1.0,1.0,7.0,20.0,27.0,74.0,9.566,0.081,0.055,1.098,-1.812,0.008,23.179,19.86,1940,6.86817,2
E09000003,Barnet,E01000201,Barnet 028C,1600000.0,6.0,21.0,3.0,0.0,1.0,2.0,0.0,9.0,35.0,12.0,89.0,7.184,0.041,0.034,0.774,-1.855,-0.066,20.134,32.502,1582,6.11543,2
E09000003,Barnet,E01000202,Barnet 028D,1025000.0,2.0,7.0,0.0,1.0,0.0,2.0,0.0,11.0,29.0,15.0,67.0,6.735,0.053,0.031,1.508,-1.941,-0.497,25.128,23.038,1766,7.46676,2
E09000003,Barnet,E01000203,Barnet 028E,615000.0,11.0,17.0,5.0,0.0,0.0,11.0,2.0,23.0,39.0,39.0,147.0,15.523,0.114,0.072,5.763,-1.173,-0.564,36.786,24.962,1824,5.04058,2
E09000003,Barnet,E01000204,Barnet 025C,1040000.0,4.0,11.0,0.0,0.0,1.0,6.0,3.0,15.0,14.0,23.0,77.0,10.063,0.068,0.046,3.121,-1.795,0.3,23.008,27.209,1737,11.4422,3
E09000003,Barnet,E01000205,Barnet 035A,945000.0,3.0,13.0,3.0,2.0,0.0,4.0,0.0,8.0,31.0,18.0,82.0,7.725,0.053,0.035,1.073,-1.993,0.215,22.867,23.489,1610,4.21301,1b
