Local authority code,Local authority name,LSOA code,LSOA name,Median House Price 2022,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against The Person,Total Crime 2022,IMD Score,Income Deprivation Score,Employment Deprivation Score,Education Deprivation Score,Health Deprivation Score,Crime Score,Housing and Services Deprivation Score,Living Environment Deprivation Score,Total Population 2015,Average PTAI 2015,PTAL
E09000003,Barnet,E01000274,Barnet 011C,625000.0,8.0,10.0,1.0,3.0,1.0,1.0,3.0,8.0,20.0,31.0,86.0,15.582,0.126,0.086,7.751,-0.901,-0.061,25.14,22.706,1955,6.76218,2
E09000003,Barnet,E01000275,Barnet 012A,682500.0,4.0,10.0,0.0,2.0,0.0,2.0,1.0,4.0,20.0,15.0,58.0,13.504,0.118,0.063,3.017,-0.996,-0.842,36.715,14.371,1717,7.42912,2
E09000003,Barnet,E01000276,Barnet 020A,975000.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,16.0,9.0,38.0,4.061,0.027,0.023,0.771,-2.082,-1.275,26.175,13.428,1494,2.91234,1b
E09000003,Barnet,E01000277,Barnet 012B,456000.0,4.0,17.0,1.0,2.0,0.0,4.0,1.0,5.0,19.0,27.0,80.0,18.23,0.144,0.106,4.07,-0.769,-0.957,36.343,19.329,1918,10.138,3
E09000003,Barnet,E01000278,Barnet 020B,1017500.0,2.0,6.0,1.0,0.0,0.0,2.0,2.0,6.0,17.0,13.0,49.0,5.525,0.033,0.018,0.964,-1.831,-1.202,29.02,21.104,1511,5.12517,2
E09000003,Barnet,E01000279,Barnet 007C,2250000.0,1.0,19.0,2.0,1.0,1.0,5.0,0.0,6.0,11.0,11.0,57.0,8.956,0.017,0.017,1.781,-2.378,0.538,37.898,12.864,1511,1.48978,1a
E09000003,Barnet,E01000280,Barnet 007D,1012500.0,1.0,10.0,1.0,2.0,0.0,1.0,2.0,2.0,10.0,6.0,35.0,3.958,0.023,0.03,0.945,-2.161,-0.63,21.565,15.478,1364,4.76207,1b
E09000003,Barnet,E01000281,Barnet 008D,510750.0,11.0,18.0,3.0,0.0,0.0,13.0,5.0,60.0,13.0,37.0,160.0,10.933,0.081,0.059,6.189,-0.996,-0.177,26.224,18.025,976,10.1968,3
E09000003,Barnet,E01000282,Barnet 008E,667500.0,6.0,15.0,9.0,2.0,0.0,4.0,3.0,16.0,23.0,23.0,101.0,8.582,0.057,0.045,1.968,-1.781,0.194,24.399,21.335,1814,9.58732,2
E09000003,Barnet,E01000283,Barnet 012C,1238000.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,16.0,4.0,31.0,4.647,0.03,0.019,0.596,-2.208,-0.928,28.055,14.301,1405,4.22068,1b
E09000003,Barnet,E01000284,Barnet 012D,475000.0,19.0,12.0,4.0,0.0,0.0,4.0,3.0,9.0,20.0,34.0,105.0,15.477,0.136,0.083,5.239,-0.698,-0.094,26.898,17.659,1767,7.85811,2
E09000003,Barnet,E01000285,Barnet 004A,521500.0,8.0,6.0,2.0,0.0,0.0,1.0,1.0,3.0,7.0,24.0,52.0,15.134,0.105,0.082,8.337,-0.706,0.22,27.112,17.854,1382,3.18573,1b
E09000003,Barnet,E01000286,Barnet 007E,481375.0,6.0,6.0,2.0,2.0,0.0,3.0,4.0,10.0,8.0,23.0,64.0,23.897,0.17,0.119,11.092,-0.444,0.64,31.405,23.41,1670,4.57522,1b
E09000003,Barnet,E01000287,Barnet 004B,570000.0,6.0,3.0,3.0,2.0,0.0,8.0,0.0,1.0,9.0,30.0,62.0,22.723,0.16,0.104,21.677,-0.404,0.314,30.131,22.608,1667,4.13223,1b
E09000003,Barnet,E01000288,Barnet 004C,690000.0,2.0,6.0,2.0,2.0,0.0,1.0,4.0,4.0,15.0,13.0,49.0,13.041,0.091,0.065,8.012,-1.187,0.101,27.921,21.62,1641,8.34093,2
E09000003,Barnet,E01000289,Barnet 004D,480000.0,12.0,5.0,6.0,3.0,2.0,6.0,2.0,6.0,21.0,25.0,88.0,38.33,0.249,0.17,28.383,-0.327,0.693,51.981,18.355,1907,6.94427,2
E09000003,Barnet,E01000290,Barnet 007F,1302500.0,6.0,3.0,5.0,3.0,0.0,6.0,0.0,17.0,5.0,23.0,68.0,19.937,0.12,0.098,10.938,-0.714,0.486,38.416,13.391,1614,1.48016,1a
E09000003,Barnet,E01000291,Barnet 004E,605000.0,7.0,3.0,6.0,4.0,1.0,7.0,1.0,5.0,11.0,19.0,64.0,32.936,0.23,0.166,25.657,-0.267,0.721,38.957,11.862,1647,3.04293,1b
E09000003,Barnet,E01000292,Barnet 001E,515000.0,10.0,7.0,3.0,1.0,2.0,2.0,5.0,20.0,13.0,24.0,87.0,11.315,0.079,0.077,3.672,-1.209,0.185,20.499,18.462,1571,8.10976,2
E09000003,Barnet,E01000293,Barnet 001F,703000.0,1.0,5.0,1.0,1.0,0.0,2.0,1.0,12.0,17.0,18.0,58.0,7.608,0.06,0.044,1.381,-1.409,0.092,18.942,21.151,1787,16.1789,4
E09000003,Barnet,E01000294,Barnet 004F,440000.0,14.0,5.0,0.0,0.0,0.0,21.0,0.0,42.0,20.0,85.0,187.0,12.242,0.093,0.086,2.224,-0.295,-1.003,25.006,12.621,1827,6.76124,2
E09000003,Barnet,E01000295,Barnet 023B,772500.0,3.0,13.0,3.0,2.0,1.0,8.0,2.0,9.0,33.0,22.0,96.0,13.306,0.06,0.056,1.118,-1.255,0.492,25.781,41.739,1731,14.5725,3
E09000003,Barnet,E01000296,Barnet 023C,435000.0,16.0,10.0,7.0,4.0,2.0,19.0,7.0,69.0,27.0,61.0,222.0,12.11,0.085,0.053,4.316,-1.184,0.231,28.689,23.002,1790,16.7983,4
E09000003,Barnet,E01000297,Barnet 027D,480000.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,7.0,13.0,23.0,51.0,9.009,0.074,0.044,7.204,-1.322,-0.395,24.197,19.889,1551,5.7428,2
E09000003,Barnet,E01000298,Barnet 023D,490000.0,13.0,16.0,12.0,9.0,1.0,14.0,4.0,28.0,20.0,63.0,180.0,11.827,0.094,0.046,1.708,-1.449,0.331,26.444,27.123,1932,12.4266,3
E09000003,Barnet,E01000299,Barnet 019A,391500.0,14.0,6.0,4.0,4.0,0.0,31.0,11.0,104.0,11.0,61.0,246.0,17.004,0.119,0.06,2.994,-0.639,0.409,26.429,41.331,1991,12.996,3
E09000003,Barnet,E01000300,Barnet 019B,724505.0,7.0,8.0,1.0,1.0,1.0,2.0,0.0,12.0,9.0,24.0,65.0,12.253,0.097,0.059,3.089,-0.681,-0.181,27.881,21.835,1689,11.1317,3
E09000003,Barnet,E01000301,Barnet 020C,845000.0,3.0,6.0,5.0,0.0,1.0,3.0,5.0,8.0,13.0,7.0,51.0,7.059,0.048,0.048,1.066,-1.613,-0.26,21.836,21.665,1520,11.159,3
E09000003,Barnet,E01000302,Barnet 019C,417000.0,10.0,12.0,2.0,2.0,0.0,16.0,6.0,28.0,12.0,44.0,132.0,15.595,0.129,0.086,6.762,-0.724,-0.287,28.26,18.501,2119,14.0582,3
E09000003,Barnet,E01000303,Barnet 020D,921000.0,1.0,11.0,2.0,1.0,0.0,5.0,0.0,4.0,12.0,7.0,43.0,6.805,0.05,0.032,1.124,-1.639,-0.581,31.613,12.46,1663,7.75464,2
E09000003,Barnet,E01000304,Barnet 020E,650000.0,2.0,10.0,1.0,0.0,0.0,3.0,1.0,6.0,13.0,14.0,50.0,13.531,0.087,0.06,4.188,-0.637,-0.642,36.709,23.302,1672,8.91359,2
E09000003,Barnet,E01000305,Barnet 036B,483500.0,15.0,12.0,21.0,1.0,2.0,15.0,1.0,34.0,65.0,42.0,208.0,27.857,0.164,0.117,15.048,-0.648,0.481,45.441,34.409,1850,4.53612,1b
E09000003,Barnet,E01000306,Barnet 036C,600000.0,1.0,5.0,3.0,2.0,0.0,0.0,1.0,7.0,7.0,16.0,42.0,14.045,0.075,0.044,13.002,-0.947,0.156,32.814,31.348,1677,10.6458,3
E09000003,Barnet,E01000307,Barnet 039D,520000.0,25.0,18.0,13.0,4.0,3.0,38.0,18.0,329.0,93.0,85.0,626.0,23.325,0.147,0.081,18.495,-1.017,0.834,35.276,32.261,1640,13.5832,3
E09000003,Barnet,E01000308,Barnet 036D,484500.0,11.0,10.0,10.0,4.0,2.0,11.0,2.0,26.0,15.0,56.0,147.0,31.832,0.204,0.109,25.938,-0.535,1.036,42.403,31.921,1706,3.59251,1b
E09000003,Barnet,E01000309,Barnet 031D,757500.0,9.0,6.0,5.0,1.0,0.0,7.0,2.0,12.0,20.0,31.0,93.0,13.899,0.09,0.059,3.428,-1.603,-0.061,36.538,26.827,1889,13.4253,3
E09000003,Barnet,E01000310,Barnet 034C,378000.0,16.0,13.0,6.0,2.0,3.0,16.0,3.0,38.0,31.0,61.0,189.0,19.223,0.108,0.064,14.199,-0.751,0.28,41.658,28.117,2093,16.9418,4
E09000003,Barnet,E01000311,Barnet 034D,1295000.0,10.0,9.0,5.0,1.0,1.0,6.0,5.0,6.0,28.0,28.0,99.0,11.072,0.043,0.053,1.966,-1.843,0.539,26.841,31.631,1745,11.2528,3
E09000003,Barnet,E01000312,Barnet 036E,395000.0,7.0,9.0,5.0,1.0,1.0,2.0,1.0,11.0,10.0,27.0,74.0,24.927,0.151,0.096,9.643,-0.25,-0.218,54.472,21.426,1766,7.46376,2
E09000003,Barnet,E01000313,Barnet 036F,411850.0,13.0,13.0,11.0,1.0,0.0,7.0,5.0,24.0,30.0,57.0,161.0,19.932,0.115,0.076,11.933,-0.586,0.188,40.221,30.047,2149,12.4284,3
E09000003,Barnet,E01000314,Barnet 032F,1150000.0,14.0,11.0,8.0,2.0,1.0,16.0,4.0,28.0,24.0,52.0,160.0,10.677,0.055,0.035,2.835,-1.415,0.599,29.239,25.473,1985,17.8886,4
E09000003,Barnet,E01000315,Barnet 022F,480901.4875057785,11.0,10.0,1.0,4.0,2.0,13.0,0.0,18.0,20.0,42.0,121.0,32.727,0.239,0.163,23.302,-0.325,0.821,34.64,19.208,1768,4.27959,1b
E09000003,Barnet,E01000316,Barnet 027E,427000.0,18.0,16.0,20.0,2.0,1.0,22.0,20.0,95.0,37.0,82.0,313.0,19.874,0.138,0.079,3.672,-1.038,0.761,33.719,30.861,2475,5.17573,2
E09000003,Barnet,E01000317,Barnet 019D,472000.0,8.0,7.0,3.0,1.0,0.0,2.0,1.0,8.0,29.0,25.0,84.0,10.85,0.098,0.054,2.406,-1.149,-0.216,25.353,21.911,1655,13.0089,3
E09000003,Barnet,E01000318,Barnet 019E,770000.0,4.0,10.0,3.0,0.0,0.0,7.0,0.0,16.0,14.0,23.0,77.0,14.711,0.12,0.056,3.402,-1.163,0.621,25.899,25.854,1903,7.65489,2
E09000003,Barnet,E01000319,Barnet 027F,800000.0,4.0,9.0,0.0,0.0,0.0,2.0,0.0,4.0,21.0,18.0,58.0,9.915,0.076,0.046,1.877,-1.324,0.193,24.253,23.027,1601,5.79505,2
E09000003,Barnet,E01000320,Barnet 011D,630000.0,9.0,13.0,1.0,3.0,0.0,3.0,1.0,11.0,24.0,17.0,82.0,8.719,0.077,0.039,1.303,-1.78,-0.389,28.257,19.714,1581,4.41757,1b
E09000003,Barnet,E01000321,Barnet 012E,530000.0,11.0,10.0,5.0,2.0,3.0,5.0,5.0,54.0,18.0,36.0,149.0,14.405,0.104,0.077,4.408,-1.081,-0.071,25.102,31.229,1766,8.3204,2
E09000003,Barnet,E01000322,Barnet 011E,425000.0,6.0,9.0,11.0,0.0,1.0,6.0,1.0,19.0,11.0,47.0,111.0,14.866,0.124,0.078,2.411,-1.241,-0.254,27.666,28.924,1844,5.7123,2
E09000003,Barnet,E01000323,Barnet 019F,435000.0,26.0,19.0,6.0,5.0,0.0,37.0,15.0,111.0,19.0,103.0,341.0,18.834,0.118,0.078,4.866,-0.482,0.644,27.802,35.376,2269,12.3449,3
E09000003,Barnet,E01000324,Barnet 015F,850000.0,3.0,14.0,2.0,0.0,0.0,8.0,0.0,16.0,14.0,30.0,87.0,13.755,0.094,0.075,4.525,-0.569,0.198,24.585,21.96,1895,6.64776,2
E09000004,Bexley,E01000325,Bexley 014A,561000.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,6.0,19.0,42.0,5.875,0.039,0.035,11.501,-1.385,-0.419,18.379,14.375,1630,8.32679,2
E09000004,Bexley,E01000326,Bexley 014B,369000.0,7.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,10.0,23.0,47.0,11.973,0.053,0.038,16.265,-1.095,-0.091,32.998,26.995,1326,3.41403,1b
E09000004,Bexley,E01000327,Bexley 017A,520000.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,6.0,6.0,11.0,32.0,7.68,0.043,0.045,11.786,-0.737,-0.238,19.191,16.278,1590,13.2003,3
E09000004,Bexley,E01000328,Bexley 017B,500000.0,4.0,5.0,9.0,1.0,0.0,5.0,0.0,3.0,11.0,33.0,71.0,11.404,0.05,0.049,17.211,-0.693,0.714,20.362,13.589,1506,2.85065,1b
E09000004,Bexley,E01000329,Bexley 017C,325500.0,9.0,3.0,5.0,0.0,2.0,1.0,2.0,10.0,4.0,41.0,77.0,15.875,0.097,0.075,20.584,-0.916,0.401,23.933,19.845,1479,8.2841,2
E09000004,Bexley,E01000330,Bexley 017D,375000.0,30.0,4.0,32.0,8.0,1.0,71.0,6.0,9.0,4.0,110.0,275.0,17.867,0.112,0.087,13.023,-0.107,-0.24,24.574,31.997,1618,17.4417,4
E09000004,Bexley,E01000331,Bexley 017E,434000.0,17.0,7.0,5.0,3.0,1.0,15.0,3.0,15.0,32.0,59.0,157.0,28.281,0.151,0.137,33.267,-0.004,0.312,36.033,22.699,1611,3.10323,1b
E09000004,Bexley,E01000332,Bexley 005A,412500.0,6.0,9.0,0.0,3.0,1.0,6.0,0.0,6.0,13.0,18.0,62.0,16.091,0.106,0.078,16.749,-0.815,0.407,20.316,25.33,1631,7.26014,2
E09000004,Bexley,E01000333,Bexley 003A,265750.0,19.0,10.0,6.0,2.0,1.0,24.0,8.0,26.0,15.0,70.0,181.0,25.871,0.167,0.126,34.467,0.056,0.197,23.342,23.367,1836,4.65451,1b
E09000004,Bexley,E01000334,Bexley 006A,400000.0,6.0,8.0,5.0,3.0,2.0,3.0,0.0,10.0,10.0,43.0,90.0,12.987,0.08,0.063,20.914,-0.772,-0.315,27.128,13.728,1636,3.74277,1b
E09000004,Bexley,E01000335,Bexley 003B,300000.0,19.0,17.0,15.0,2.0,2.0,17.0,11.0,61.0,40.0,101.0,285.0,31.73,0.16,0.095,37.431,-0.457,0.732,50.822,31.915,2225,4.47422,1b
E09000004,Bexley,E01000336,Bexley 003C,360000.0,22.0,15.0,3.0,3.0,0.0,20.0,5.0,13.0,26.0,59.0,166.0,31.362,0.222,0.137,24.927,-0.129,0.386,38.468,27.661,2062,8.93537,2
E09000004,Bexley,E01000337,Bexley 003D,371625.0,5.0,7.0,0.0,1.0,0.0,4.0,0.0,12.0,16.0,23.0,68.0,19.57,0.165,0.093,15.541,-0.715,0.035,26.767,23.293,1743,4.86354,1b
E09000004,Bexley,E01000338,Bexley 003E,353000.0,15.0,5.0,9.0,0.0,1.0,4.0,1.0,8.0,15.0,38.0,96.0,18.89,0.123,0.07,17.74,-0.261,0.267,26.9,31.707,1979,7.48566,2
E09000004,Bexley,E01000339,Bexley 025A,493500.0,2.0,0.0,0.0,4.0,0.0,3.0,1.0,2.0,7.0,19.0,38.0,16.3,0.109,0.099,23.223,-0.302,-0.154,16.828,12.707,1561,4.67548,1b
E09000004,Bexley,E01000340,Bexley 018A,431250.0,0.0,5.0,3.0,1.0,0.0,2.0,1.0,4.0,4.0,14.0,34.0,12.831,0.074,0.044,19.776,-0.481,-0.614,27.236,28.127,1524,2.61588,1b
E09000004,Bexley,E01000341,Bexley 022A,475000.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,11.0,26.0,8.884,0.062,0.057,14.854,-0.807,-0.623,15.877,16.246,1561,3.27627,1b
E09000004,Bexley,E01000342,Bexley 022B,433250.0,6.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,10.0,17.0,43.0,8.918,0.035,0.041,17.66,-1.001,-0.158,21.444,24.005,1621,2.81472,1b
E09000004,Bexley,E01000343,Bexley 022C,550000.0,10.0,5.0,5.0,0.0,3.0,11.0,0.0,7.0,3.0,33.0,77.0,8.347,0.055,0.049,15.982,-0.922,-0.474,15.963,18.648,1587,4.57313,1b
E09000004,Bexley,E01000344,Bexley 025B,520000.0,8.0,1.0,6.0,1.0,1.0,5.0,1.0,17.0,9.0,17.0,66.0,6.105,0.034,0.042,12.306,-0.703,-0.513,15.548,13.015,1559,4.49253,1b
E09000004,Bexley,E01000345,Bexley 022D,517500.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,19.0,31.0,6.252,0.041,0.033,12.598,-0.778,-0.71,16.663,17.59,1351,4.67157,1b
E09000004,Bexley,E01000346,Bexley 021A,410000.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,25.0,13.0,21.0,66.0,9.662,0.053,0.051,15.303,-0.759,-0.023,14.693,24.63,1685,3.83546,1b
E09000004,Bexley,E01000347,Bexley 021B,417000.0,4.0,2.0,8.0,1.0,1.0,2.0,0.0,4.0,11.0,16.0,49.0,11.175,0.077,0.04,22.953,-0.584,-0.483,19.19,22.451,1482,4.94347,1b
E09000004,Bexley,E01000348,Bexley 020A,632500.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,8.0,25.0,4.979,0.02,0.032,12.641,-1.292,-0.66,17.301,14.633,1520,3.23538,1b
E09000004,Bexley,E01000349,Bexley 020B,568000.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,6.0,22.0,7.0,46.0,7.459,0.048,0.034,9.743,-1.158,-0.813,27.531,16.379,1654,4.25791,1b
E09000004,Bexley,E01000350,Bexley 021C,450000.0,8.0,4.0,2.0,0.0,1.0,1.0,0.0,13.0,7.0,15.0,51.0,7.89,0.046,0.034,17.944,-0.832,-0.577,18.184,20.794,1514,3.73397,1b
E09000004,Bexley,E01000351,Bexley 024A,470000.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,6.0,15.0,10.0,46.0,7.587,0.05,0.039,16.4,-1.138,-0.687,22.757,12.409,1614,3.14063,1b
E09000004,Bexley,E01000352,Bexley 021D,288500.0,13.0,4.0,5.0,1.0,0.0,7.0,0.0,53.0,14.0,56.0,153.0,14.763,0.099,0.061,21.656,-0.728,-0.116,24.688,23.87,1697,4.45,1b
E09000004,Bexley,E01000353,Bexley 011A,550000.0,2.0,3.0,0.0,1.0,2.0,10.0,0.0,1.0,6.0,13.0,38.0,5.202,0.046,0.034,9.686,-1.378,-0.353,11.135,15.115,1691,3.8967,1b
E09000004,Bexley,E01000354,Bexley 011B,422500.0,3.0,2.0,2.0,1.0,0.0,5.0,0.0,5.0,5.0,13.0,36.0,21.316,0.143,0.123,23.867,-0.054,-0.667,23.683,21.561,1510,6.97214,2
E09000004,Bexley,E01000355,Bexley 011C,477500.0,4.0,4.0,4.0,2.0,1.0,3.0,0.0,2.0,9.0,17.0,46.0,8.189,0.039,0.047,16.778,-0.741,-0.346,18.053,17.91,1630,7.68435,2
E09000004,Bexley,E01000356,Bexley 009A,542500.0,4.0,6.0,2.0,0.0,0.0,3.0,1.0,21.0,11.0,11.0,59.0,7.94,0.052,0.063,12.733,-0.915,-0.507,12.146,14.394,1654,12.1571,3
E09000004,Bexley,E01000357,Bexley 009B,557000.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,11.0,25.0,4.079,0.02,0.027,11.965,-1.286,-0.704,11.932,14.658,1467,6.53809,2
E09000004,Bexley,E01000358,Bexley 011D,440000.0,3.0,2.0,4.0,0.0,0.0,4.0,2.0,22.0,3.0,31.0,71.0,6.15,0.046,0.039,12.017,-1.075,-0.75,15.424,16.626,1683,8.54207,2
E09000004,Bexley,E01000359,Bexley 009C,523000.0,4.0,1.0,4.0,0.0,1.0,3.0,1.0,5.0,11.0,11.0,41.0,6.167,0.044,0.041,10.117,-1.244,-0.859,18.998,16.885,1290,4.70258,1b
E09000004,Bexley,E01000360,Bexley 015A,373750.0,42.0,10.0,57.0,4.0,9.0,46.0,24.0,150.0,17.0,190.0,549.0,18.65,0.109,0.08,7.884,0.031,0.373,26.11,32.745,1715,16.1787,4
E09000004,Bexley,E01000361,Bexley 020C,477500.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,14.0,12.0,36.0,11.27,0.075,0.062,13.448,-0.882,-0.362,23.02,19.662,1609,5.08739,2
E09000004,Bexley,E01000362,Bexley 015B,308995.0,39.0,21.0,60.0,5.0,5.0,50.0,18.0,218.0,21.0,142.0,579.0,12.63,0.074,0.056,13.386,-0.903,0.499,22.3,21.256,1598,15.0623,4
E09000004,Bexley,E01000363,Bexley 020D,616000.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,8.0,21.0,46.0,9.306,0.057,0.054,9.685,-0.759,-0.454,21.287,22.855,1516,5.38097,2
E09000004,Bexley,E01000364,Bexley 023A,460500.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,4.0,21.0,11.0,45.0,12.692,0.073,0.054,12.906,-0.489,-0.486,29.325,25.496,1607,3.823,1b
E09000004,Bexley,E01000365,Bexley 015C,335000.0,11.0,3.0,5.0,0.0,2.0,15.0,3.0,53.0,8.0,35.0,135.0,14.39,0.092,0.06,9.92,-0.431,0.595,21.687,23.711,1772,10.9912,3
E09000004,Bexley,E01000366,Bexley 015D,480500.0,4.0,4.0,1.0,1.0,0.0,3.0,2.0,3.0,5.0,24.0,47.0,9.865,0.087,0.055,8.745,-0.838,-0.233,17.292,18.271,1693,15.4365,4
E09000004,Bexley,E01000367,Bexley 010A,395000.0,5.0,8.0,0.0,2.0,1.0,11.0,0.0,7.0,7.0,61.0,102.0,30.905,0.205,0.165,36.267,-0.195,0.237,33.023,15.912,1739,3.20996,1b
E09000004,Bexley,E01000368,Bexley 010B,387250.0,15.0,3.0,3.0,3.0,2.0,7.0,1.0,3.0,10.0,56.0,103.0,33.932,0.237,0.16,44.364,-0.015,-0.146,37.57,16.009,1583,2.41844,1a
E09000004,Bexley,E01000369,Bexley 014C,390000.0,2.0,0.0,1.0,2.0,0.0,5.0,1.0,7.0,11.0,32.0,61.0,14.638,0.098,0.082,21.126,-0.567,-0.226,17.199,20.593,1639,4.21462,1b
E09000004,Bexley,E01000370,Bexley 014D,490000.0,7.0,4.0,1.0,3.0,0.0,5.0,1.0,21.0,5.0,29.0,76.0,11.364,0.074,0.072,14.165,-0.682,-0.706,21.068,17.969,1628,10.7576,3
E09000004,Bexley,E01000371,Bexley 014E,365000.0,6.0,2.0,2.0,1.0,3.0,5.0,0.0,6.0,11.0,15.0,51.0,8.174,0.053,0.039,13.957,-0.965,-0.624,23.936,16.171,1632,4.97689,1b
E09000004,Bexley,E01000372,Bexley 010C,467750.0,9.0,4.0,6.0,2.0,0.0,7.0,1.0,16.0,14.0,62.0,121.0,29.915,0.197,0.164,30.801,0.357,-0.117,26.36,21.727,1661,3.50441,1b
E09000004,Bexley,E01000373,Bexley 008A,350000.0,4.0,2.0,1.0,1.0,0.0,7.0,0.0,8.0,6.0,16.0,45.0,29.344,0.135,0.106,37.08,0.174,0.578,46.339,17.05,614,3.11407,1b
E09000004,Bexley,E01000374,Bexley 019A,420000.0,17.0,11.0,4.0,2.0,1.0,6.0,1.0,11.0,17.0,53.0,123.0,42.38,0.241,0.205,48.486,0.69,0.056,37.794,30.276,1610,2.26362,1a
E09000004,Bexley,E01000375,Bexley 019B,390000.0,23.0,4.0,0.0,1.0,0.0,14.0,0.0,10.0,22.0,34.0,108.0,18.295,0.112,0.085,26.088,-0.393,0.066,20.731,27.738,1898,6.52067,2
E09000004,Bexley,E01000376,Bexley 019C,405000.0,8.0,6.0,4.0,0.0,0.0,6.0,0.0,9.0,12.0,38.0,83.0,16.232,0.083,0.058,17.181,-0.26,0.727,21.867,27.96,1595,2.19275,1a
E09000004,Bexley,E01000377,Bexley 019D,412000.0,6.0,3.0,2.0,2.0,4.0,16.0,0.0,9.0,9.0,39.0,90.0,12.286,0.064,0.071,16.399,-0.888,0.142,23.725,14.852,1502,1.62648,1a
E09000004,Bexley,E01000378,Bexley 019E,276000.0,34.0,6.0,10.0,8.0,2.0,33.0,8.0,132.0,49.0,138.0,420.0,21.241,0.123,0.095,21.688,-0.211,0.181,30.105,28.836,2720,4.31319,1b
E09000004,Bexley,E01000379,Bexley 019F,412500.0,5.0,4.0,2.0,2.0,1.0,6.0,1.0,8.0,9.0,26.0,64.0,18.601,0.122,0.075,23.517,-0.573,0.254,24.86,28.683,1775,7.05411,2
E09000004,Bexley,E01000380,Bexley 010D,230000.0,7.0,4.0,1.0,1.0,0.0,10.0,0.0,10.0,10.0,40.0,83.0,23.317,0.134,0.087,30.464,-0.259,-0.771,47.069,13.297,1708,5.18912,2
E09000004,Bexley,E01000381,Bexley 028A,400000.0,5.0,6.0,8.0,1.0,0.0,5.0,0.0,4.0,9.0,30.0,68.0,27.812,0.149,0.129,27.77,-0.036,-0.079,44.107,22.274,1683,1.43135,1a
E09000004,Bexley,E01000382,Bexley 027A,650100.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,2.0,8.0,26.0,48.0,6.444,0.033,0.037,6.073,-1.105,-0.685,29.39,10.99,1567,3.01202,1b
E09000004,Bexley,E01000383,Bexley 028B,506000.0,13.0,4.0,3.0,0.0,0.0,10.0,0.0,9.0,14.0,19.0,72.0,21.082,0.101,0.085,19.715,-0.35,0.989,33.052,17.296,1507,0.677378,1a
E09000004,Bexley,E01000384,Bexley 027B,420000.0,9.0,5.0,3.0,3.0,1.0,2.0,0.0,11.0,14.0,20.0,68.0,12.076,0.096,0.053,9.625,-0.742,-0.253,22.275,27.452,1745,7.69227,2
E09000004,Bexley,E01000385,Bexley 028C,315000.0,28.0,19.0,7.0,9.0,5.0,13.0,9.0,20.0,35.0,89.0,234.0,32.32,0.22,0.136,32.616,0.563,0.219,34.66,19.851,1979,3.61829,1b
E09000004,Bexley,E01000386,Bexley 028D,274000.0,19.0,4.0,4.0,4.0,0.0,12.0,0.0,30.0,25.0,57.0,155.0,41.618,0.253,0.195,40.72,0.897,0.336,36.791,22.337,1537,6.65619,2
E09000004,Bexley,E01000387,Bexley 027C,458000.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,3.0,13.0,31.0,12.348,0.066,0.067,10.449,-0.773,-0.156,33.06,11.659,1582,7.4484,2
E09000004,Bexley,E01000388,Bexley 016A,463000.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,11.0,27.0,55.0,10.762,0.07,0.056,13.402,-0.924,0.288,16.66,18.881,1523,4.35928,1b
E09000004,Bexley,E01000389,Bexley 020E,425000.0,6.0,5.0,11.0,0.0,1.0,14.0,0.0,8.0,6.0,46.0,97.0,11.233,0.082,0.057,11.196,-1.107,0.066,24.705,14.27,1759,8.03609,2
E09000004,Bexley,E01000390,Bexley 020F,532500.0,7.0,1.0,10.0,2.0,1.0,4.0,1.0,11.0,11.0,35.0,83.0,10.167,0.056,0.044,14.297,-0.457,-0.085,22.19,20.569,1282,2.89856,1b
E09000004,Bexley,E01000391,Bexley 021E,420000.0,3.0,2.0,6.0,0.0,0.0,4.0,3.0,4.0,14.0,28.0,64.0,13.901,0.085,0.068,22.158,-0.908,-0.304,22.714,24.914,1722,1.68107,1a
